column,primary_use_case,AnalysisHandling,alt_use_cases,peril_fire,peril_wildfire,peril_weather,peril_nw_water,peril_crime,peril_other,peril_farm_crop,peril_eq,peril_casualty,peril_wc_el,peril_flood,peril_terrorism,peril_auto,peril_rcv,peril_pl_cl,usage_uw,usage_ops,usage_pricing,calculate_stats
location_type,Location Info,Keep,,,,,,,,,,,,,,,,,,,,Yes
match_level,ID,Exceptions,"GeoID Match Level: House (1398), Address issue (12)",,,,,,,,,,,,,,,,X,X,,Yes
match_score,ID,Exceptions,Score < 1.00 indicates imperfect match (78),,,,,,,,,,,,,,,,X,X,,Yes
google_maps_url,ID,Supp ID,link to google image,,,,,,,,,,,,,,,,X,X,,No
enhanced_wildfire.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.text,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.risk_scores.base,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.risk_scores.composite,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.landcover_risk.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.landcover_risk.desc,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,,,Yes
enhanced_wildfire.landcover_risk.detail.area_desc,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
enhanced_wildfire.landcover_risk.detail.site_desc,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.0.distance_to,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.0.pct_wildland,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.0.risk_category,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.1.distance_to,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.1.pct_wildland,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.1.risk_category,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.2.distance_to,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.2.pct_wildland,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.landcover_risk.proximate_landcover_areas.2.risk_category,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.katabatic_wind_risk.score,Katabatic Wind,Distribution,,,X,X,,,,X,,,,,,X,,ALL,,,X,Yes
enhanced_wildfire.katabatic_wind_risk.name,Katabatic Wind,Combine,,,X,X,,,,X,,,,,,X,,ALL,X,,,Yes
enhanced_wildfire.katabatic_wind_risk.desc,Katabatic Wind,Combine,,,X,X,,,,X,,,,,,X,,ALL,,X,,Yes
enhanced_wildfire.fire_season_precip_risk.score,Wildfire,Keep,,,X,,,,,,,,,,,,,,,,,Yes
enhanced_wildfire.fire_season_precip_risk.monthly_avg_precip,Wildfire,Keep,,,X,,,,,,,,,,,,,,,,,Yes
enhanced_wildfire.fire_season_precip_risk.desc,Wildfire,Keep,,,X,,,,,,,,,,,,,,,,,Yes
enhanced_wildfire.wildfire_perimeter_risk.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
enhanced_wildfire.wildfire_perimeter_risk.desc,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,X,,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.0.name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.0.year,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.0.relationship,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.1.name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.1.year,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.1.relationship,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.2.name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.2.year,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.wildfire_perimeter_risk.proximate_wildfire_perimeters.2.relationship,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.vegetation_burn_site_risk.score,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,X,Yes
enhanced_wildfire.vegetation_burn_site_risk.within_half_mile,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.vegetation_burn_site_risk.within_one_mile,Wildfire,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
enhanced_wildfire.vegetation_burn_site_risk.desc,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,X,X,Yes
wildfire.score,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire.text,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_description.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_risk_score.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_risk_score.composite,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_risk.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_distance_to_high_area.units,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_distance_to_high_area.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
wildfire_housing_density.value,,,Delete Prior Versions,,,,,,,,,,,,,,,,,,,No
drought.score,Drought,Distribution,,,X,,,,,,,,,,,,,ALL,X,,,Yes
drought.text,Drought,Combine,,,X,,,,,,,,,,,,,ALL,,X,,Yes
drought_frequency_index.score,Drought,Distribution,,,X,,,,,,,,,,,,,ALL,,,X,Yes
drought_frequency_index.text,Drought,Combine,,,X,,,,,,,,,,,,,ALL,,,,Yes
drought_frequency_index.pct,Drought,Combine,,,X,,,,,,,,,,,,,ALL,,,,Yes
drought_frequency_index.desc,,,,,,,,,,,,,,,,,,,,,,No
wildfire_history_params.risk,Wildfire,Distribution,,,X,,,,,,,,,,,,,ALL,X,,X,Yes
wildfire_history_params.year_name,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
wildfire_history_params.year_name_distance,Wildfire,Exceptions,,,X,,,,,,,,,,,,,ALL,,X,,No
wildfire_history_params.number_of_wildfires,Wildfire,Distribution,# of wildfire perimeters involving insured location,,X,,,,,,,,,,,,,ALL,X,X,,Yes
wildfire_history_params.number_of_wildfires_near,Wildfire,Combine,# of wildfires near insured location,,X,,,,,,,,,,,,,ALL,X,X,,Yes
distance_to_significant_wf_risk_params.risk,,,,,,,,,,,,,,,,,,,,,,Yes
distance_to_significant_wf_risk_params.very_high,Wildfire,Bucket,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
distance_to_significant_wf_risk_params.high,Wildfire,Bucket,,,X,,,,,,,,,,,,,ALL,X,X,,Yes
