report_name,column_list,bin_variables,exclude_geo_errors,primary_use_case,peril_fire,peril_wildfire,peril_weather,peril_non_weather_water,peril_crim,peril_other,peril_farm_crop,peril_eq,peril_casualty,peril_wc_el,peril_flood,peril_terrorism,peril_auto,peril_rcv,peril_pl_cl,use_case_UW,use_case_ops,use_case_pricing
state,state,,,,,,,,,,,,,,,,,,,,,
geocoding,"match_score,match_level,status",match_score,,ID,,,,,,,,,,,,,,,,X,X,
wildfire_score,"enhanced_wildfire.risk_scores.composite,enhanced_wildfire.score,enhanced_wildfire.text",,X,Wildfire,,X,,,,,,,,,,,,,ALL,,,X
wildfire_landcover_detail,"enhanced_wildfire.landcover_risk.detail.area_desc,enhanced_wildfire.landcover_risk.detail.site_desc",,X,Wildfire,,X,,,,,,,,,,,,,ALL,X,X,
wildfire_katabatic,"enhanced_wildfire.katabatic_wind_risk.score,enhanced_wildfire.katabatic_wind_risk.name,enhanced_wildfire.katabatic_wind_risk.desc",,X,Katabatic Wind,,X,X,,,,X,,,,,,X,,ALL,,,X
drought_score,"drought.score,drought.text",,X,Drought,,X,,,,,,,,,,,,,ALL,X,,
drought_frequency,"drought_frequency_index.score,drought_frequency_index.text,drought_frequency_index.pct,drought_frequency_index.desc",,X,Drought,,X,,,,,,,,,,,,,ALL,,,X
fire_suppression,"fire_suppression.score,fire_suppression.grade,fire_suppression.category,fire_suppression.text",,X,Fire Suppression,,,,,,,,,,,,,,,ALL,,,X
urbanicity,"urbanicity.type,state,urbanicity.desc,urbanicity.name",,X,ID,,,,,,,,,,,,,,,ALL,,X,
hydrants,hydrant_params.distance_from_nearest_hydrant,,X,Fire,X,,,,,,X,,,,,,,,ALL,X,,X
fs1_type,fire_station_type.value,,X,Fire,X,,,,,,X,,,,,,,,ALL,X,,X
fs1_linear_distance,nearest_fire_station.distance,nearest_fire_station.distance,X,Fire,X,,,,,,X,,,,,,,,ALL,X,,X
